name,parent,value
origin,,
A,origin,0.320296704
AA,origin,0.544803032
AAAU,origin,0.45486193
AAC,origin,0.335315985
AACG,origin,0.179913459
AACIW,origin,1
AADI,origin,0.742781881
AADR,origin,0.056179775
AAIC,origin,0.81437508
AAIN,origin,0.180327869
AAL,origin,0.454948912
AAMC,origin,0.539363484
AAME,origin,0.047826087
AAMpA,origin,0.538528201
AAMpB,origin,0.334572491
AAN,origin,0.577062647
AAOI,origin,0.538312571
AAON,origin,0.654393531
AAP,origin,0.379471371
AAPB,origin,0.353293413
AAPD,origin,0.430244229
AAPL,origin,0.407354814
AAPU,origin,0.592574916
AAQC,origin,0.000173116
AAQC/WS,origin,0.777777778
AAT,origin,0.239838151
AATC,origin,0.271306818
AAU,origin,0.130786742
AAWW,origin,0.199107
AAXJ,origin,0.521756633
AB,origin,0.566604861
ABB,origin,0.483482417
ABBV,origin,0.374141035
ABC,origin,0.752330522
ABCB,origin,0.68045673
ABCL,origin,0.613737846
ABCM,origin,0.697704445
ABEO,origin,0.618308143
ABEQ,origin,0.911712717
ABEV,origin,0.460247105
ABG,origin,0.749121221
ABIO,origin,0.494818187
ABM,origin,0.614026412
ABMD,origin,0.134692728
ABNB,origin,0.472417817
ABOS,origin,0.136638468
ABR,origin,0.622324589
ABRpD,origin,0.652460457
ABRpE,origin,0.637085137
ABRpF,origin,0.533071749
ABSI,origin,0.494797464
ABST,origin,0.242953501
ABT,origin,0.424898349
ABUS,origin,0.284524859
ABVC,origin,0.779632389
AC,origin,0.31610338
ACA,origin,0.688480087
ACAC,origin,1
ACACU,origin,1
ACAD,origin,0.483460679
ACAH,origin,1
ACAQ,origin,0.8
ACB,origin,0.681487635
ACCD,origin,0.512949079
ACCO,origin,0.368343468
ACDC,origin,0.621818622
ACDCW,origin,0.097356805
ACDI/U,origin,1
ACEL,origin,0.47233639
ACER,origin,0.438739255
ACES,origin,0.06558114
ACET,origin,0.648881159
ACEV,origin,0.095318832
ACEVW,origin,0.967741935
ACGL,origin,0.344276494
ACGLN,origin,0.178848245
ACGLO,origin,0.203922605
ACHC,origin,0.818063912
ACHL,origin,0.321758242
ACHR,origin,0.417998565
ACHV,origin,0.237257003
ACI,origin,0.232562802
ACII,origin,0.007589701
ACIO,origin,0.295921577
ACIU,origin,0.55349567
ACIW,origin,0.422093958
ACLS,origin,0.473441562
ACLX,origin,0.192008748
ACM,origin,0.655387668
ACMR,origin,0.328698602
ACN,origin,0.443285368
ACNB,origin,0.837638376
ACNT,origin,0.591825149
ACON,origin,0.141561466
ACONW,origin,1
ACOR,origin,0.486400141
ACP,origin,0.333265695
ACQR,origin,0.019813075
ACR,origin,0.630626841
ACRE,origin,0.355234776
ACRO,origin,0.065741119
ACRO/WS,origin,4.73E-05
ACRpC,origin,0.609756098
ACRpD,origin,0.406398104
ACRS,origin,0.390032756
ACRX,origin,0.540722803
ACST,origin,0.356000914
ACT,origin,0.423185616
ACTG,origin,0.299980564
ACTV,origin,0.627505568
ACU,origin,0.326817826
ACV,origin,0.558012476
ACVA,origin,0.563774891
ACVF,origin,0.263854425
ACWF,origin,0.231837607
ACWI,origin,0.396044642
ACWV,origin,0.639851383
ACWX,origin,0.675767597
ACXP,origin,0.250687191
ADAG,origin,0.198522069
ADAL,origin,1
ADALW,origin,0.989010989
ADAP,origin,0.504850129
ADBE,origin,0.341516404
ADC,origin,0.62623747
ADCpA,origin,0.600468071
ADCT,origin,0.538637096
ADD,origin,0.276928574
ADEA,origin,0.383810127
ADER,origin,0.142857143
ADERW,origin,1
ADES,origin,0.416330457
ADEX,origin,0.091541136
ADFI,origin,0.393516434
ADI,origin,0.312882592
ADIL,origin,0.06040567
ADM,origin,0.417682077
ADMA,origin,0.454719734
ADME,origin,0.61348563
ADMP,origin,0.341930584
ADN,origin,0.399235583
ADNT,origin,0.76710739
ADNWW,origin,0.264705882
ADOC,origin,0.798403194
ADP,origin,0.533062534
ADPT,origin,0.685143887
ADRA,origin,0.241102181
ADRA/WS,origin,0.906809471
ADRE,origin,0.111338798
ADRT,origin,0.975609756
ADSE,origin,0.446604458
ADSK,origin,0.365907294
ADT,origin,0.566508071
ADTH,origin,0.756144094
