name,parent,value
origin,,
A,origin,0.320296704
AA,origin,0.544803032
AAAU,origin,0.45486193
AAC,origin,0.335315985
AACG,origin,0.179913459
AACIW,origin,1
AADI,origin,0.742781881
AADR,origin,0.056179775
AAIC,origin,0.81437508
AAIN,origin,0.180327869
AAL,origin,0.454948912
AAMC,origin,0.539363484
AAME,origin,0.047826087
AAMpA,origin,0.538528201
AAMpB,origin,0.334572491
AAN,origin,0.577062647
AAOI,origin,0.538312571
AAON,origin,0.654393531
AAP,origin,0.379471371
AAPB,origin,0.353293413
AAPD,origin,0.430244229
AAPL,origin,0.407354814
AAPU,origin,0.592574916
AAQC,origin,0.000173116
AAQC/WS,origin,0.777777778
AAT,origin,0.239838151
AATC,origin,0.271306818
AAU,origin,0.130786742
AAWW,origin,0.199107
AAXJ,origin,0.521756633
